Id,WindowId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,Character,Gender,Harmony_Analysis_Available
100,0,/home/federico/galuppi-perez/data/corpus/xml/Ale31M-Ombra_dell-1749-Perez[3.12][1385].xml,Ale,Ale31M,Ombra_dell,3,12,312,1749,1740s,Davide Perez,Cleofide,Male,1
101,0,/home/federico/galuppi-perez/data/corpus/xml/Ale31M-Ombra_dell-1752-Perez[3.11][1071].xml,Ale,Ale31M,Ombra_dell,3,11,311,1752,1750s,Davide Perez,Cleofide,Male,1
102,0,/home/federico/galuppi-perez/data/corpus/xml/Ale31M-Ombra_dell-1755-Galuppi[3.12][0708].xml,Ale,Ale31M,Ombra_dell,3,12,312,1755,1750s,Baldassare Galuppi,Cleofide,Male,1
103,0,/home/federico/galuppi-perez/data/corpus/xml/Ale47X-Il_regno-1738-Galuppi[2.14][0701].xml,Ale,Ale47X,Il_regno,2,14,214,1738,1730s,Baldassare Galuppi,Cleofide,Male,1
104,0,/home/federico/galuppi-perez/data/corpus/xml/Ale57X-Non_va-1755-Galuppi[1.11][0676].xml,Ale,Ale57X,Non_va,1,11,111,1755,1750s,Baldassare Galuppi,Gandarte,Male,1
105,0,/home/federico/galuppi-perez/data/corpus/xml/Ale58X-Frangi_la-1755-Galuppi[2.02][0679].xml,Ale,Ale58X,Frangi_la,2,02,202,1755,1750s,Baldassare Galuppi,Gandarte,Male,1
106,0,/home/federico/galuppi-perez/data/corpus/xml/Ale59X-Se_vuol-1755-Galuppi[2.08][0681].xml,Ale,Ale59X,Se_vuol,2,08,208,1755,1750s,Baldassare Galuppi,Alessandro,Male,1
107,0,/home/federico/galuppi-perez/data/corpus/xml/Art01M-Conservati_fedele-1749-Galuppi[1.01][1714].xml,Art,Art01M,Conservati_fedele,1,01,101,1749,1740s,Baldassare Galuppi,Mandane,Male,1
108,0,/home/federico/galuppi-perez/data/corpus/xml/Art01M-Conservati_fedele-1749-Perez[1.01][1721].xml,Art,Art01M,Conservati_fedele,1,01,101,1749,1740s,Davide Perez,Mandane,Male,1
109,0,/home/federico/galuppi-perez/data/corpus/xml/Art04M-Per_pieta_bell-1749-Galuppi[1.05][1716].xml,Art,Art04M,Per_pieta_bell,1,05,105,1749,1740s,Baldassare Galuppi,Artaserse,Male,1
