Id,first_phrase_measure,length_first_phrase
0842,31.0,37.0
0843,3.0,18.0
0844,22.0,27.0
0845,21.0,33.0
0846,24.0,42.0
0847,16.0,28.0
0848,20.0,28.0
0849,18.0,50.0
0850,14.0,23.0
0851,2.0,21.0
0852,17.0,30.0
0853,18.0,37.0
0854,9.0,22.0
0855,6.0,18.0
0856,17.0,19.0
0857,2.0,16.0
0858,22.0,25.0
0859,7.0,33.0
0860,11.0,16.0
0861,17.0,25.0
0862,,29.0
0863,19.0,25.0
0864,8.5,13.5
0865,,28.0
0866,14.0,29.0
0867,13.0,30.0
0868,6.0,7.5
0869,16.0,26.0
0870,18.0,10.0
0871,22.0,23.0
0872,26.0,18.0
0873,30.0,23.0
0874,26.0,40.0
0875,44.0,28.0
0876,,59.0
0877a,21.0,13.0
0877b,21.0,13.0
0878,31.0,14.0
0879,25.0,28.0
0880,3.0,31.0
0881,18.0,15.0
0882,11.0,11.0
0883,6.0,31.0
0884,12.0,68.0
0885,12.0,10.0
0886,11.0,23.0
0887,12.0,19.0
0888,15.0,19.0
0889,13.5,12.0
0890,27.0,29.0
0891,,28.0
0892,16.0,21.0
0893,19.0,40.0
0894,,34.0
0895,19.0,20.0
0896,10.0,16.0
0897,14.0,22.0
0898,25.0,39.0
0899,15.5,21.5
0900,19.0,35.0
0901,6.0,18.0
0902,8.0,13.5
0903,48.0,43.0
0904,5.0,16.5
0905,45.0,30.0
0906,20.0,35.0
0907,16.0,36.0
0908,8.0,9.5
0909,20.0,41.0
0910,,15.5
0911,14.0,17.0
0912,24.0,26.0
0913,7.0,15.5
0914,14.0,15.0
0915,13.0,21.0
0916,16.0,21.0
0917,12.0,12.0
0918,6.0,19.0
0919,26.0,39.0
0920,28.0,42.0
0921,38.0,39.0
0922,7.0,52.0
0923,31.0,42.0
0924,43.0,49.0
0925,,43.0
0926,7.0,51.0
0927,3.0,21.0
0928,11.0,15.5
0929,50.0,55.0
0930,32.0,36.0
0931,13.0,27.0
0932,,29.0
0933,4.0,38.0
0934,6.0,34.0
0935,,40.0
0936,,59.0
0937,21.0,38.0
0938,24.0,38.0
0939,14.0,21.5
0940,16.0,52.0
0941,36.0,69.0
0942,29.0,38.0
0943,25.0,47.0
0944,,74.0
0945,21.0,26.0
0946,44.0,60.0
0947,2.5,22.5
0948,14.0,22.0
0949,14.0,20.0
0950,,29.0
0951,,31.0
0952,2.5,24.5
0953,2.0,25.0
0954,,25.0
0955,23.0,26.0
0956,4.0,59.0
0957,21.0,24.0
0958,12.0,16.5
0959,9.5,14.0
0960,7.5,6.5
0961,10.0,14.0
0962,4.0,12.0
0963,4.0,18.0
0964,10.0,17.0
0965,8.5,10.5
0966,16.0,23.0
0967,,30.0
0968,12.0,10.0
0969,22.0,18.0
0970,22.0,27.0
0971,20.0,32.0
0972,6.0,8.5
0973,12.0,3.5
0974,8.5,6.5
0975,8.0,7.5
0976,8.0,8.0
0977,8.0,17.0
0978,,9.5
0979,,16.0
0980,18.0,47.0
0981,,42.0
0982,34.0,51.0
0983,28.0,32.0
0984,17.0,15.0
0985,12.0,14.0
0986,35.0,19.0
0987,23.0,18.0
0988,,34.0
0989,22.0,25.0
0990,14.0,28.0
0991,13.0,22.0
0992,15.0,16.0
0993,22.0,46.0
0994,32.0,19.0
0995,18.0,17.0
0996,29.0,40.0
0997,17.0,11.0
0998,3.0,13.0
0999,13.0,21.0
1000,17.0,28.0
1001,10.5,12.5
1002,,13.0
1003,,30.0
1004,8.5,12.0
1005,7.0,17.0
1006,,14.0
1007,,23.0
1008,15.0,28.0
1009,8.0,18.0
1010,4.0,24.0
1011,8.0,20.0
1012,18.0,34.0
1013,24.0,38.0
1014,14.0,39.0
1015,11.0,23.0
1016,10.0,20.0
1017,9.0,22.0
1018,5.0,53.0
1019,9.0,28.0
1020,6.0,34.0
1021,4.0,29.0
1022,13.0,20.0
1023,14.0,15.0
1024,2.0,33.0
1025,8.0,7.0
1026,,17.0
1027,15.0,28.0
1028,3.0,97.0
1029,9.0,20.0
1030,2.0,24.0
1031,4.0,22.0
1032,,20.0
1033,10.0,27.0
1034,12.5,12.0
1035,20.0,35.0
1036,16.0,38.0
1037,10.5,15.0
1038,28.0,40.0
1039,9.0,20.0
1040,20.0,30.0
1041,14.0,25.0
1042,15.0,40.0
1043,9.0,13.5
1044,9.0,11.5
1045,25.0,38.0
1046,4.0,10.5
1047,14.0,24.0
1048,,23.0
1049,3.0,23.0
1050,15.0,39.0
1051,11.0,13.5
1052,18.0,24.0
1053,14.0,31.0
1054,12.0,27.5
1055,16.0,27.5
1056,15.0,24.0
1057,18.0,34.0
1058,10.0,2.5
1059,3.0,27.0
1060,24.0,31.0
1061,8.0,12.0
1062,11.0,14.5
1063,23.0,37.0
1064,12.0,27.0
1065,32.0,53.0
1066,25.0,32.0
1067,26.0,40.0
1068,15.0,34.5
1069,22.0,30.0
1070,19.0,23.0
1071,19.0,17.0
1072,23.0,17.0
1073,27.0,34.0
1074,9.0,11.0
1075,3.0,31.0
1076,27.0,36.0
1077,3.0,13.0
1078,16.0,2.0
1079,11.0,11.0
1080,9.0,27.0
1081,13.0,25.0
1082,4.0,20.0
1083,3.0,12.0
1084,11.5,16.5
1085,25.0,40.0
1086,14.0,18.0
1087,5.0,9.0
1088,18.0,25.0
1089,20.0,27.0
1090,17.0,27.0
1091,12.0,26.0
1092,11.5,12.5
1093,,13.5
1094,9.0,12.0
1095,23.0,47.0
1096,12.5,19.0
1097,28.0,27.0
1098,30.0,53.0
1099,19.0,25.0
1100,5.0,11.0
1101,22.0,41.0
1102,10.0,38.0
1103,9.0,22.0
1104,23.0,35.0
1105,47.0,73.0
1106,35.0,68.0
1107,34.0,32.0
1108,,13.5
1109,10.0,35.0
1110,12.0,41.0
1111,19.0,42.0
1112,13.0,28.0
